Number of channels received = 325
Channel                  Rate  chan_type
L0:FMC-BX_X14_DEHUM_SWITCH                  16      raw    real_4
L0:FMC-BX_X24_DEHUM_SWITCH                  16      raw    real_4
L0:FMC-BX_XMID_DEHUM_SWITCH                 16      raw    real_4
L0:FMC-BY_Y13_DEHUM_SWITCH                  16      raw    real_4
L0:FMC-BY_Y25_DEHUM_SWITCH                  16      raw    real_4
L0:FMC-BY_YMID_DEHUM_SWITCH                 16      raw    real_4
L0:FMC-CS-AHU1_DISCH_HEAT_VOLT3C            16      raw    real_4
L0:FMC-CS-AHU2_DISCH_HEAT_VOLT4C            16      raw    real_4
L0:FMC-CS-AHU2_DISCH_HEAT_VOLT5C            16      raw    real_4
L0:FMC-CS_AHU1_COIL_TEMP                    16      raw    real_4
L0:FMC-CS_AHU1_DISCH_HEAT_SWITCH1C          16      raw    real_4
L0:FMC-CS_AHU1_DISCH_HEAT_SWITCH2C          16      raw    real_4
L0:FMC-CS_AHU1_DISCH_HEAT_SWITCH3C          16      raw    real_4
L0:FMC-CS_AHU1_DISCH_HEAT_VOLT1C            16      raw    real_4
L0:FMC-CS_AHU1_DISCH_HEAT_VOLT2C            16      raw    real_4
L0:FMC-CS_AHU1_DISCH_HEAT_VOLT3C            16      raw    real_4
L0:FMC-CS_AHU1_DISCH_RH                     16      raw    real_4
L0:FMC-CS_AHU1_DISCH_TEMP                   16      raw    real_4
L0:FMC-CS_AHU1_FAN1_CFM                     16      raw    real_4
L0:FMC-CS_AHU1_FAN1_INLET                   16      raw    real_4
L0:FMC-CS_AHU1_FAN1_ISODAMP_SWITCH          16      raw    real_4
L0:FMC-CS_AHU1_FAN1_SWITCH                  16      raw    real_4
L0:FMC-CS_AHU1_FAN1_VS                      16      raw    real_4
L0:FMC-CS_AHU1_FAN2_CFM                     16      raw    real_4
L0:FMC-CS_AHU1_FAN2_INLET                   16      raw    real_4
L0:FMC-CS_AHU1_FAN2_ISODAMP_SWITCH          16      raw    real_4
L0:FMC-CS_AHU1_FAN2_SWITCH                  16      raw    real_4
L0:FMC-CS_AHU1_FAN2_VS                      16      raw    real_4
L0:FMC-CS_AHU1_H2O_VALVE                    16      raw    real_4
L0:FMC-CS_AHU1_MIXAIR_DAMP                  16      raw    real_4
L0:FMC-CS_AHU1_MIXTEMP                      16      raw    real_4
L0:FMC-CS_AHU1_MIX_RH                       16      raw    real_4
L0:FMC-CS_AHU1_OUTAIR                       16      raw    real_4
L0:FMC-CS_AHU1_OUTAIR_DAMP                  16      raw    real_4
L0:FMC-CS_AHU1_RETAIR_DAMP                  16      raw    real_4
L0:FMC-CS_AHU2_COIL_TEMP                    16      raw    real_4
L0:FMC-CS_AHU2_DISCH_HEAT_SWITCH4C          16      raw    real_4
L0:FMC-CS_AHU2_DISCH_HEAT_SWITCH5C          16      raw    real_4
L0:FMC-CS_AHU2_DISCH_HEAT_VOLT4C            16      raw    real_4
L0:FMC-CS_AHU2_DISCH_HEAT_VOLT5C            16      raw    real_4
L0:FMC-CS_AHU2_DISCH_RH                     16      raw    real_4
